country,year,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
Ireland,2009,126.1,85.9,110.1,154.5,131.6,59.8
Netherlands,2009,123.8,71.9,103.2,90.1,108.5,41.6
France,2009,120.9,77.7,103.8,115.4,118.3,45.5
Belgium,2009,117.5,78.8,102.2,110.9,107.6,55.6
Sweden,2009,112.5,33.3,81.1,99.0,85.2,62.8
Austria,2009,110.4,66.0,92.8,97.7,84.8,54.4
Germany,2009,109.9,40.0,82.1,92.6,89.3,74.0
Israel,2009,106.8,58.8,87.8,110.5,67.2,42.5
Italy,2009,105.8,77.9,94.7,99.1,102.0,41.8
South Korea,2009,102.1,34.7,75.4,150.0,102.7,38.5
United Kingdom,2009,100.2,71.8,88.9,93.3,97.2,66.3
United States,2009,91.7,58.0,78.3,83.7,80.2,98.0
Portugal,2009,89.0,36.4,68.1,51.1,60.3,41.2
Australia,2009,83.3,48.2,69.4,98.9,76.7,120.0
Canada,2009,82.3,61.5,74.0,99.7,65.0,74.7
Chile,2009,79.9,22.1,56.9,55.4,40.8,40.4
Greece,2009,77.4,37.0,61.4,74.5,78.1,38.3
Singapore,2009,74.7,107.6,87.7,110.8,91.1,56.1
Hong Kong,2009,74.5,56.2,67.2,95.1,88.7,45.8
Czech Republic,2009,74.2,46.2,63.1,63.8,54.7,33.0
Brazil,2009,70.5,37.2,57.3,73.6,51.8,47.1
Latvia,2009,68.8,43.5,58.8,37.9,49.3,22.2
Jordan,2009,66.4,19.7,47.9,88.7,62.0,15.9
South Africa,2009,64.7,44.6,56.8,53.3,40.8,54.2
Serbia,2009,62.7,29.3,49.4,51.6,60.4,25.1
Hungary,2009,62.1,28.8,48.9,50.3,43.3,32.0
Colombia,2009,58.5,19.9,43.2,61.0,44.3,28.4
Bahrain,2009,58.0,82.4,67.7,70.1,67.2,49.0
Mexico,2009,54.2,22.4,41.6,40.0,48.7,42.9
Poland,2009,53.5,34.8,46.1,40.7,44.6,26.9
Bosnia And Herzegovina,2009,49.6,13.1,35.1,58.8,36.0,18.6
Bolivia,2009,46.7,21.8,36.8,27.1,37.2,32.5
China,2009,43.5,25.1,36.2,58.4,35.2,35.0
Thailand,2009,39.9,24.5,33.8,53.3,25.3,33.4
India,2009,38.5,10.5,27.4,34.0,29.5,41.4
Ukraine,2009,35.7,28.8,33.0,27.2,37.1,30.3
Norway,2010,161.3,71.6,121.2,169.8,162.6,69.1
Denmark,2010,138.9,83.5,114.1,116.6,159.1,74.1
Netherlands,2010,123.6,61.7,95.9,78.4,114.5,68.5
France,2010,123.5,67.2,98.4,101.0,132.9,70.5
Switzerland,2010,121.4,92.4,108.4,132.2,117.7,137.9
Belgium,2010,120.0,71.1,98.2,109.4,110.9,88.3
Ireland,2010,119.8,71.1,98.0,148.0,118.1,99.4
Italy,2010,115.4,63.7,92.3,94.5,113.3,51.0
Finland,2010,111.1,50.7,84.1,100.2,108.1,106.6
United Kingdom,2010,107.4,65.2,88.5,94.4,96.9,87.6
Austria,2010,107.3,59.6,86.0,96.4,87.5,89.6
Germany,2010,105.5,38.4,75.5,93.6,85.3,106.8
Sweden,2010,104.2,32.4,72.1,98.1,89.6,113.4
Australia,2010,100.5,52.7,79.2,101.9,82.2,114.4
Cyprus,2010,94.1,36.5,68.3,83.2,91.3,97.7
Spain,2010,91.3,45.8,71.0,67.4,82.2,52.1
Israel,2010,89.7,55.4,74.4,93.6,78.2,51.4
South Korea,2010,88.6,42.1,67.8,124.0,79.4,85.2
United States,2010,88.5,49.6,71.1,85.0,71.1,114.8
Japan,2010,86.7,55.2,72.6,100.5,66.9,97.8
Canada,2010,86.0,52.1,70.8,96.0,64.7,96.0
Portugal,2010,84.7,32.5,61.4,49.1,64.8,48.5
United Arab Emirates,2010,83.8,91.0,87.0,64.2,108.5,70.1
Croatia,2010,80.7,33.7,59.7,75.4,63.6,45.9
Greece,2010,77.0,32.4,57.1,76.2,78.7,61.3
Slovenia,2010,76.0,45.1,62.2,63.7,62.5,54.4
Brazil,2010,73.8,31.3,54.8,54.7,48.5,59.3
Czech Republic,2010,72.1,41.6,58.5,62.9,58.4,54.4
Latvia,2010,68.2,31.8,51.9,37.4,50.9,38.3
Chile,2010,67.5,19.7,46.1,55.4,41.6,53.3
Singapore,2010,65.9,71.8,68.6,100.3,56.4,76.8
Jordan,2010,65.6,26.4,48.1,88.2,65.2,22.1
Hong Kong,2010,64.7,58.5,61.9,93.3,50.9,53.2
Hungary,2010,64.4,21.1,45.1,53.3,48.0,32.5
Serbia,2010,62.4,24.3,45.3,49.3,60.6,35.2
Montenegro,2010,61.1,11.8,39.1,53.8,59.2,29.7
