rank,country,health_care_index,health_care_exp_index,Year
1,Japan,96.1,179.4,2012
2,Indonesia,94.1,175.0,2012
3,Sri Lanka,93.5,174.2,2012
4,Thailand,92.6,173.3,2012
5,Israel,91.7,170.6,2012
6,Denmark,89.8,168.2,2012
7,Colombia,88.9,165.1,2012
8,Malta,87.0,161.3,2012
9,New Zealand,86.8,161.2,2012
10,Sweden,86.8,162.0,2012
11,Austria,83.2,153.8,2012
12,Slovenia,82.9,152.7,2012
13,Panama,82.4,153.5,2012
14,Belgium,82.2,153.6,2012
15,France,80.7,148.5,2012
16,Mexico,80.1,147.2,2012
17,Switzerland,79.5,153.5,2012
18,Bolivia,79.2,146.0,2012
19,Australia,79.1,144.9,2012
20,Norway,79.0,147.1,2012
21,Ecuador,77.8,151.2,2012
22,Finland,77.1,145.2,2012
23,Argentina,76.7,143.1,2012
24,Philippines,76.1,142.1,2012
25,United Kingdom,76.0,139.9,2012
26,Taiwan,74.1,134.5,2012
27,Canada,72.0,134.9,2012
28,Germany,72.0,133.9,2012
29,Jordan,70.8,132.6,2012
30,Slovakia,70.4,131.5,2012
31,Netherlands,70.4,136.9,2012
32,Turkey,70.0,126.9,2012
33,Portugal,70.0,129.9,2012
34,Spain,69.9,130.3,2012
35,Estonia,69.4,129.5,2012
36,Malaysia,69.1,127.1,2012
37,Italy,67.8,123.6,2012
38,Georgia,67.1,123.4,2012
39,Egypt,65.7,117.6,2012
40,United States,65.5,122.2,2012
41,Croatia,65.0,130.8,2012
42,Czech Republic,65.0,123.2,2012
43,Lithuania,64.6,122.2,2012
44,United Arab Emirates,63.9,120.5,2012
45,Pakistan,60.4,109.3,2012
46,Bulgaria,60.3,114.5,2012
47,Hungary,60.0,111.0,2012
48,South Africa,59.5,105.1,2012
49,India,59.4,105.1,2012
50,Chile,59.3,105.5,2012
51,Brazil,59.1,111.7,2012
52,Singapore,59.0,113.3,2012
53,Serbia,57.4,102.4,2012
54,Bosnia And Herzegovina,57.4,108.8,2012
55,Poland,55.8,99.7,2012
56,Greece,51.8,93.9,2012
57,Romania,48.4,85.9,2012
58,Venezuela,45.4,91.1,2012
59,Puerto Rico,44.7,84.5,2012
60,Iran,43.4,77.1,2012
61,Lebanon,43.3,77.1,2012
62,Mongolia,43.1,84.6,2012
63,Ireland,41.1,78.2,2012
64,Saudi Arabia,40.7,73.3,2012
65,Ukraine,40.3,80.7,2012
66,China,36.1,59.3,2012
67,Russia,35.5,63.8,2012
1,Thailand,94.7,176.6,2013
2,Israel,87.0,162.1,2013
3,Denmark,86.1,160.0,2013
4,France,85.6,159.4,2013
5,Panama,82.4,153.5,2013
6,Belgium,81.5,151.3,2013
7,Austria,81.5,150.4,2013
8,Taiwan,81.2,148.7,2013
9,Sri Lanka,80.6,149.0,2013
10,South Korea,80.6,148.8,2013
11,Norway,80.5,150.4,2013
12,Japan,80.1,145.8,2013
13,Sweden,78.7,145.7,2013
14,Argentina,78.3,146.8,2013
15,Estonia,78.1,144.2,2013
16,Malta,77.8,142.9,2013
17,Colombia,77.3,140.4,2013
18,Costa Rica,77.1,143.2,2013
19,Finland,76.4,140.9,2013
20,New Zealand,76.0,139.1,2013
21,Spain,75.6,140.9,2013
22,Australia,75.6,138.2,2013
23,Jordan,75.4,139.6,2013
24,Philippines,73.7,136.4,2013
25,Germany,73.3,134.8,2013
26,Canada,72.8,135.7,2013
27,Mexico,72.1,130.8,2013
28,Slovenia,72.1,134.6,2013
29,Switzerland,72.0,137.4,2013
30,Turkey,71.9,130.3,2013
31,United Kingdom,71.3,131.7,2013
32,Hong Kong,71.1,130.7,2013
33,Lithuania,70.8,130.0,2013
34,Cyprus,70.0,125.9,2013
35,Georgia,69.0,126.2,2013
36,Qatar,68.1,132.7,2013
37,United States,67.8,126.3,2013
38,Bolivia,67.4,125.4,2013
39,Netherlands,66.8,125.2,2013
40,North Macedonia,64.8,123.0,2013
41,Iceland,64.8,123.6,2013
42,Ecuador,64.8,121.4,2013
43,Italy,64.8,119.5,2013
44,Morocco,63.3,113.7,2013
45,India,62.7,111.5,2013
46,Czech Republic,62.0,117.8,2013
47,Portugal,61.6,113.9,2013
48,Chile,61.5,110.0,2013
49,South Africa,61.3,111.0,2013
50,China,60.9,108.2,2013
51,Slovakia,60.0,110.2,2013
52,United Arab Emirates,59.9,112.3,2013
53,Malaysia,59.7,108.0,2013
54,Egypt,59.1,104.6,2013
55,Puerto Rico,59.0,112.6,2013
56,Singapore,58.8,112.6,2013
57,Poland,57.8,108.0,2013
58,Brazil,57.6,107.1,2013
59,Uruguay,57.2,104.6,2013
60,Montenegro,56.9,103.7,2013
61,Serbia,55.6,99.3,2013
62,Bulgaria,54.6,100.5,2013
63,Bosnia And Herzegovina,54.5,98.6,2013
64,Cambodia,53.8,97.4,2013
65,Peru,53.7,97.9,2013
66,Hungary,51.0,95.3,2013
67,Greece,50.4,89.3,2013
68,Croatia,50.0,101.2,2013
69,Ireland,49.0,94.8,2013
70,Indonesia,48.5,84.4,2013
71,Ukraine,47.9,85.1,2013
72,Pakistan,47.9,84.7,2013
73,Romania,46.1,81.5,2013
74,Iran,45.7,79.6,2013
75,Albania,44.4,82.2,2013
76,Venezuela,44.4,76.5,2013
77,Lebanon,43.3,77.1,2013
78,Mongolia,43.1,84.6,2013
79,Russia,39.3,69.0,2013
80,Uganda,34.7,63.8,2013
81,Saudi Arabia,34.2,65.4,2013
82,Azerbaijan,28.7,50.4,2013
1,Denmark,85.6,159.2,2014
2,Thailand,85.4,158.1,2014
3,Japan,85.0,156.0,2014
4,France,82.3,152.3,2014
5,Austria,79.7,147.3,2014
6,South Korea,79.2,146.1,2014
7,Taiwan,78.3,142.7,2014
8,Belgium,78.0,143.1,2014
9,New Zealand,77.8,142.3,2014
10,Argentina,76.7,141.4,2014
11,Sri Lanka,76.7,141.6,2014
12,Estonia,76.3,140.2,2014
13,Norway,75.7,139.8,2014
14,Israel,75.4,138.8,2014
15,Germany,75.3,138.3,2014
16,Sweden,75.2,138.4,2014
17,Spain,75.2,139.6,2014
18,Jordan,74.1,136.0,2014
19,Australia,73.6,134.5,2014
20,United Kingdom,73.5,135.3,2014
21,Canada,71.9,133.1,2014
22,Hong Kong,71.8,131.5,2014
23,Mexico,70.6,127.5,2014
24,Philippines,69.8,125.6,2014
25,Malaysia,69.4,126.1,2014
26,Lithuania,69.3,126.7,2014
27,Cyprus,68.7,122.9,2014
28,Finland,68.7,123.7,2014
29,United States,68.6,127.7,2014
30,Colombia,68.5,122.7,2014
31,Switzerland,68.0,128.1,2014
32,Czech Republic,66.3,123.4,2014
33,Kuwait,66.2,122.9,2014
34,Netherlands,66.2,121.9,2014
35,China,65.1,117.9,2014
36,Italy,65.0,119.2,2014
37,Latvia,65.0,122.2,2014
38,Portugal,64.8,119.0,2014
39,India,64.6,115.3,2014
40,Costa Rica,63.9,114.5,2014
41,Slovakia,63.5,115.6,2014
42,Singapore,61.8,117.1,2014
43,Albania,61.4,111.5,2014
44,Slovenia,61.3,114.7,2014
45,Egypt,61.3,109.5,2014
46,United Arab Emirates,60.6,113.4,2014
47,Indonesia,60.2,107.3,2014
48,Kazakhstan,60.2,114.1,2014
49,Puerto Rico,59.9,113.6,2014
50,Uruguay,59.6,108.2,2014
51,South Africa,59.4,107.7,2014
