rank,country,pollution_index,exp_pollution_index,Year
1,Sudan,149.2,216.1,2012
2,Sri Lanka,135.8,194.5,2012
3,Iran,131.8,188.5,2012
4,Morocco,125.8,185.4,2012
5,Egypt,125.7,177.4,2012
6,Zimbabwe,124.2,184.3,2012
7,China,122.8,171.0,2012
8,Philippines,116.7,160.9,2012
9,Bangladesh,116.2,163.0,2012
10,Saudi Arabia,112.5,156.7,2012
11,Bosnia And Herzegovina,112.4,159.5,2012
12,Venezuela,110.0,160.8,2012
13,Russia,104.7,142.9,2012
14,Chile,103.8,150.3,2012
15,India,102.9,139.0,2012
16,Thailand,101.6,141.1,2012
17,Pakistan,101.3,138.4,2012
18,Ukraine,100.2,136.8,2012
19,Puerto Rico,99.2,133.1,2012
20,Bulgaria,98.5,134.4,2012
21,Mexico,93.5,127.8,2012
22,Romania,91.9,123.6,2012
23,Colombia,91.5,124.2,2012
24,Malaysia,91.2,125.4,2012
25,Hungary,90.2,129.3,2012
26,Argentina,90.0,128.4,2012
27,Hong Kong,89.6,146.8,2012
28,Turkey,89.2,118.7,2012
29,South Africa,89.0,119.1,2012
30,Belgium,88.3,121.0,2012
31,Greece,87.8,118.5,2012
32,Spain,85.6,113.1,2012
33,Italy,85.5,117.2,2012
34,Poland,83.8,114.2,2012
35,Brazil,82.9,112.4,2012
36,Serbia,81.0,110.7,2012
37,Singapore,70.8,93.9,2012
38,United Arab Emirates,69.2,91.0,2012
39,Czech Republic,66.0,92.2,2012
40,United Kingdom,64.4,86.4,2012
41,France,61.8,84.7,2012
42,United States,61.3,77.7,2012
43,Tunisia,59.6,77.4,2012
44,Jordan,58.0,90.2,2012
45,Japan,52.5,74.4,2012
46,Portugal,51.9,68.3,2012
47,Croatia,49.9,69.4,2012
48,Israel,48.8,69.4,2012
49,Ireland,45.2,64.0,2012
50,Germany,45.1,58.1,2012
51,Indonesia,43.8,58.0,2012
52,Austria,42.8,59.8,2012
53,Netherlands,41.7,60.3,2012
54,Canada,41.6,52.3,2012
55,Australia,37.2,45.0,2012
56,Switzerland,35.5,54.8,2012
57,Slovenia,35.0,48.0,2012
58,Denmark,34.2,50.2,2012
59,Sweden,32.5,43.9,2012
60,Costa Rica,25.0,59.0,2012
61,Finland,24.4,35.5,2012
62,Norway,19.2,23.2,2012
63,New Zealand,17.1,27.5,2012
64,Iceland,7.1,12.7,2012
1,Ghana,113.8,212.2,2013
2,Peru,97.2,177.2,2013
3,Bangladesh,96.9,175.6,2013
4,Jamaica,96.8,176.7,2013
5,Nigeria,94.8,182.4,2013
6,El Salvador,93.1,172.5,2013
7,Iran,90.2,168.8,2013
8,Egypt,89.9,160.8,2013
9,Myanmar,89.5,167.0,2013
10,China,89.3,164.1,2013
11,Mongolia,89.0,171.1,2013
12,Sri Lanka,88.2,160.8,2013
13,Lebanon,88.0,158.2,2013
14,Albania,87.4,162.6,2013
15,Pakistan,87.0,157.4,2013
16,Trinidad And Tobago,86.8,156.8,2013
17,Indonesia,85.1,151.2,2013
18,Bahamas,85.1,152.2,2013
19,Nepal,83.4,149.5,2013
20,Qatar,82.8,157.2,2013
21,Turkey,82.0,146.1,2013
22,Venezuela,81.9,146.9,2013
23,Saudi Arabia,80.5,148.5,2013
24,Morocco,80.3,145.9,2013
25,Kazakhstan,79.6,150.4,2013
26,Bulgaria,78.9,143.5,2013
27,Guyana,78.7,149.2,2013
28,Russia,78.3,138.6,2013
29,India,77.5,136.9,2013
30,Armenia,77.3,141.1,2013
31,Laos,76.3,140.6,2013
32,South Korea,75.6,140.4,2013
33,Philippines,74.8,131.8,2013
34,North Macedonia,74.4,150.7,2013
35,Chile,74.2,135.8,2013
36,Bolivia,73.8,159.4,2013
37,Thailand,72.1,127.2,2013
38,Azerbaijan,71.6,128.0,2013
39,Taiwan,71.5,129.4,2013
40,Malta,71.2,126.1,2013
41,Colombia,68.3,127.6,2013
42,Bosnia And Herzegovina,67.6,119.8,2013
43,Malaysia,67.4,117.0,2013
44,Ukraine,67.3,119.8,2013
45,Cambodia,66.4,118.5,2013
46,Mexico,66.1,115.1,2013
47,Tunisia,65.9,118.8,2013
48,Algeria,65.8,115.2,2013
49,Hong Kong,64.9,122.2,2013
50,Georgia,64.8,114.8,2013
51,Romania,63.3,108.9,2013
52,Zimbabwe,63.0,117.4,2013
53,Greece,62.7,109.8,2013
54,Tanzania,61.8,106.9,2013
55,Ethiopia,60.1,106.4,2013
56,Israel,59.5,110.3,2013
57,South Africa,59.0,101.0,2013
58,Italy,58.9,101.8,2013
59,Ecuador,58.5,100.5,2013
60,United Arab Emirates,58.4,103.2,2013
61,Libya,57.0,97.5,2013
62,Brazil,56.5,96.9,2013
63,Cyprus,56.4,97.1,2013
64,Argentina,55.6,97.2,2013
65,Fiji,55.3,99.1,2013
66,Jordan,54.6,98.2,2013
67,Kyrgyzstan,54.6,95.4,2013
68,Puerto Rico,54.0,94.2,2013
69,Sudan,53.9,96.3,2013
70,Kenya,53.4,90.6,2013
71,Hungary,53.3,92.3,2013
72,Serbia,52.8,91.2,2013
73,Paraguay,51.6,92.4,2013
74,Poland,50.0,84.0,2013
75,Costa Rica,49.8,91.3,2013
76,Belgium,49.6,83.8,2013
77,Singapore,49.5,84.8,2013
78,Panama,48.1,91.4,2013
79,Belize,46.6,82.8,2013
80,Spain,46.5,76.9,2013
81,Vietnam,46.4,77.2,2013
82,Montenegro,44.6,76.6,2013
83,Croatia,42.0,73.3,2013
84,Uganda,42.0,77.8,2013
85,France,41.3,68.6,2013
86,Czech Republic,40.1,70.5,2013
87,Latvia,38.8,66.4,2013
88,Mauritius,38.4,73.0,2013
89,Belarus,36.2,65.0,2013
90,United Kingdom,36.0,60.1,2013
91,Brunei,35.1,70.8,2013
92,Portugal,35.0,59.6,2013
93,Slovakia,34.4,60.1,2013
94,Denmark,34.3,59.0,2013
95,Japan,33.7,59.1,2013
96,United States,32.5,57.8,2013
97,Uruguay,30.5,65.6,2013
98,Ireland,29.8,53.0,2013
99,Austria,28.8,49.5,2013
100,Germany,28.4,45.7,2013
101,Slovenia,28.2,50.7,2013
102,Netherlands,28.1,50.9,2013
103,Canada,26.5,43.5,2013
104,Lithuania,25.2,46.8,2013
105,Norway,23.4,37.2,2013
106,Switzerland,23.0,42.1,2013
107,New Zealand,21.8,38.1,2013
108,Australia,20.9,33.0,2013
109,Sweden,18.8,31.1,2013
110,Finland,18.5,28.9,2013
111,Estonia,16.4,41.4,2013
112,Iceland,9.9,18.0,2013
1,Ghana,111.2,204.3,2014
2,Bangladesh,95.9,173.3,2014
3,Mongolia,95.0,178.4,2014
4,Egypt,91.2,164.4,2014
5,Peru,88.7,161.0,2014
6,Myanmar,86.9,159.2,2014
7,Lebanon,86.7,155.1,2014
8,El Salvador,86.3,158.1,2014
9,Iran,86.1,158.6,2014
10,Trinidad And Tobago,85.7,153.9,2014
11,Nepal,85.4,152.2,2014
12,North Macedonia,85.3,161.5,2014
13,China,84.7,154.5,2014
14,Azerbaijan,82.0,146.7,2014
15,Jordan,81.8,145.4,2014
16,Qatar,81.0,144.7,2014
17,Jamaica,80.9,143.8,2014
18,Pakistan,80.3,142.8,2014
19,Laos,78.9,143.1,2014
20,Albania,77.3,140.5,2014
21,Turkey,77.1,135.4,2014
22,Russia,76.5,135.4,2014
23,Guatemala,75.9,134.3,2014
24,Philippines,74.9,131.6,2014
25,Cambodia,74.7,135.8,2014
26,Tunisia,74.5,132.2,2014
27,Kazakhstan,74.4,136.0,2014
28,India,74.3,130.2,2014
29,Sri Lanka,74.3,132.1,2014
30,South Korea,74.2,136.2,2014
31,Venezuela,74.0,130.6,2014
32,Bolivia,73.8,159.4,2014
33,Indonesia,73.8,129.1,2014
34,Ukraine,73.3,131.3,2014
35,Vietnam,72.6,126.5,2014
36,Armenia,71.6,131.8,2014
37,Saudi Arabia,71.5,127.9,2014
38,Mexico,71.2,124.4,2014
39,Thailand,71.1,123.5,2014
40,Chile,71.0,129.5,2014
41,Taiwan,70.8,127.0,2014
42,Moldova,70.3,125.2,2014
43,Morocco,70.1,122.7,2014
44,Malta,68.9,121.9,2014
45,Dominican Republic,68.8,120.4,2014
46,Guyana,67.7,121.1,2014
47,Bulgaria,66.7,119.4,2014
48,Colombia,65.7,120.1,2014
49,Georgia,65.3,115.7,2014
50,Ethiopia,64.9,116.0,2014
51,Tanzania,64.5,111.4,2014
52,Hong Kong,63.8,118.3,2014
53,Israel,63.8,113.2,2014
54,Libya,63.5,109.6,2014
55,Algeria,62.6,107.6,2014
56,Romania,62.6,107.9,2014
57,Malaysia,61.1,104.8,2014
58,Kyrgyzstan,61.0,111.9,2014
59,Sudan,61.0,107.6,2014
60,Kenya,60.7,104.3,2014
61,Italy,60.4,105.3,2014
62,Kuwait,60.0,106.3,2014
63,Costa Rica,59.6,105.9,2014
64,Zimbabwe,58.4,109.7,2014
65,Bosnia And Herzegovina,58.2,100.7,2014
66,South Africa,57.9,99.4,2014
67,Brazil,57.6,98.7,2014
68,Paraguay,57.5,104.3,2014
69,Argentina,57.5,99.7,2014
70,Belgium,56.2,96.6,2014
71,Mauritius,53.9,99.1,2014
