rank,country,price_to_income_ratio,gross_rental_yield_city_centre,gross_rental_yield_outside_of_centre,price_to_rent_ratio_city_centre,price_to_rent_ratio_outside_of_city_centre,mortgage_as_percentage_of_income,affordability_index,Year
3,Ukraine,24.1,4.3,3.7,23.2,27.3,446.8,0.2,2009
8,South Korea,21.3,1.3,1.3,77.3,75.6,168.6,0.6,2009
12,Serbia,15.9,3.2,3.8,31.0,26.0,196.9,0.5,2009
16,Czech Republic,14.9,3.6,3.5,28.1,28.3,149.4,0.7,2009
17,United Kingdom,14.7,1.7,2.3,58.6,43.0,121.6,0.8,2009
19,Bosnia And Herzegovina,14.2,3.1,3.6,31.9,27.9,164.1,0.6,2009
20,Estonia,14.1,2.5,1.9,40.0,53.6,141.3,0.7,2009
23,Greece,11.9,3.3,3.0,30.5,33.9,110.9,0.9,2009
24,France,11.7,3.1,3.9,32.4,25.3,93.0,1.1,2009
29,Indonesia,10.3,8.3,9.0,12.1,11.1,88.7,1.1,2009
32,United States,8.9,2.4,3.8,42.1,26.1,69.7,1.4,2009
33,Ireland,8.3,3.6,3.8,27.6,26.5,76.8,1.3,2009
36,India,7.7,3.6,4.4,27.8,22.6,77.1,1.3,2009
37,Canada,7.1,5.0,5.6,20.0,17.8,57.3,1.7,2009
39,Netherlands,6.5,6.2,5.7,16.2,17.7,49.6,2.0,2009
46,Jordan,5.4,10.7,12.5,9.4,8.0,59.9,1.7,2009
49,Austria,5.2,6.0,5.6,16.7,17.8,42.8,2.3,2009
53,Germany,3.8,4.1,4.0,24.1,25.2,29.7,3.4,2009
54,Denmark,3.2,9.4,8.3,10.6,12.0,25.4,3.9,2009
1,Morocco,67.5,5.8,5.8,17.2,17.2,13500.0,0.0,2010
2,Pakistan,40.6,0.9,2.3,113.5,44.4,752.4,0.1,2010
3,Belarus,40.0,7.5,3.2,13.3,31.4,704.1,0.1,2010
4,Montenegro,30.0,1.3,1.5,79.8,67.8,323.9,0.3,2010
5,Russia,28.6,3.4,3.7,29.5,26.9,383.6,0.3,2010
6,Romania,24.3,5.0,4.4,19.9,22.7,333.1,0.3,2010
7,Lithuania,20.8,3.4,2.6,29.6,37.8,596.1,0.2,2010
8,Serbia,18.8,2.8,3.6,35.2,27.8,232.9,0.4,2010
9,Latvia,18.3,4.0,2.6,24.8,38.3,212.3,0.5,2010
10,Ukraine,17.4,4.5,5.3,22.0,18.7,300.4,0.3,2010
11,China,17.1,4.7,5.0,21.1,20.1,131.1,0.8,2010
